Justificativa,Justificativa_processada,Classificacao
troca da sapata de freio da locomotiva 02,troca da sapata de freio da locomotiva 02,
normalizar translação da ponte 1,normalizar translacao da ponte 1,
pegar parametos de desnivelamento da viga pescadora ponte 01,pegar parametos de desnivelamento da viga pescadora ponte 01,
acompanhar manobra de locomotiva,acompanhar manobra de locomotiva,
acompanhar balanciamento do  MF 101,acompanhar balanciamento do  mf 101,
normalizar MF101 para apagar coque,normalizar mf101 para apagar coque,
preparação para reparar tubulação de N2,preparacao para reparar tubulacao de n2,
troca da ponba P301,troca da ponba p301,
descer driver da ponte 02 e solda na pista da transferencia 02,descer driver da ponte 02 e solda na pista da transferencia 02,
normalizar descarga da unidade 501,normalizar descarga da unidade 501,
normalizar vagao de extinção a umido,normalizar vagao de extincao a umido,
acompanhar reparo no trilho da loc,acompanhar reparo no trilho da loc,
normalizar valvula HV8 unidade 101,normalizar valvula hv8 unidade 101,
acompanhar limpeza na descarga da unidade 301,acompanhar limpeza na descarga da unidade 301,
inspecionar furo na caldeira da unidade 201,inspecionar furo na caldeira da unidade 201,
acompanhar atividade no furo da caldeira da unidade 201,acompanhar atividade no furo da caldeira da unidade 201,
inspecionar furo na descarga da unidade 101,inspecionar furo na descarga da unidade 101,
atendimento na valvula do chuveirinho cwq e elevador de caneca 01,atendimento na valvula do chuveirinho cwq e elevador de caneca 01,
inspecionar furos na caldeira da unidade 101,inspecionar furos na caldeira da unidade 101,
tamponar furo na descarga da unidade301,tamponar furo na descarga da unidade301,
troca do redutor da dv101 e completar nivel de óleo da locomotiva 01,troca do redutor da dv101 e completar nivel de oleo da locomotiva 01,
reparo na boca de carga da unidade 401,reparo na boca de carga da unidade 401,
normalizar falha no conjunto do içamento 2 ponte CR01.,normalizar falha no conjunto do icamento 2 ponte cr01.,
manobra de caçamba,manobra de cacamba,
atendimentoa NR 13 da unidade 101,atendimentoa nr 13 da unidade 101,
Atividades de limpadores guia 1 e guia 2.,atividades de limpadores guia 1 e guia 2.,
"Prontidão de supervisor guia de coque 3, ponte 2 e CC4","prontidao de supervisor guia de coque 3, ponte 2 e cc4",
"Prontidão de supervisor ICCT ocorrencias de maquinas moveis Guia 3,MD2 e MD3","prontidao de supervisor icct ocorrencias de maquinas moveis guia 3,md2 e md3",
Atendimento prontidão supervisor  barramentos dos CCs e ponte 2,atendimento prontidao supervisor  barramentos dos ccs e ponte 2,
Boca de carga da 101 supervisão,boca de carga da 101 supervisao,
Atividade na unidade 101 supervisão,atividade na unidade 101 supervisao,
Liberação da unidade 101,liberacao da unidade 101,
Acompanhamento de atividades no boca de carfa da 201,acompanhamento de atividades no boca de carfa da 201,
Acompanhamento de atividade nos barramentos das locomotivas,acompanhamento de atividade nos barramentos das locomotivas,
Acompanhamento a atividades na troca do frame do cilindro C4 reversão bateria 4.,acompanhamento a atividades na troca do frame do cilindro c4 reversao bateria 4.,
Supervisionar etividade de limpadores,supervisionar etividade de limpadores,
Prontidão presencial tecnico,prontidao presencial tecnico,
Organização da sala de materiais,organizacao da sala de materiais,
Arrumação da sala de materias e patio ICCT,arrumacao da sala de materias e patio icct,
Prontidão de supervisor ICCT ( MD2),prontidao de supervisor icct ( md2),
Atendimento a ocorrencias de prontidão.(CC5),atendimento a ocorrencias de prontidao.(cc5),
Acompanhamento a atividade do silo de rejeito da MD3,acompanhamento a atividade do silo de rejeito da md3,
Atividades de planejamento eletrico.,atividades de planejamento eletrico.,
Reprogramação de atividades,reprogramacao de atividades,
Atividades prontidão supervisão,atividades prontidao supervisao,
Atividades de barramento dos guias torre 2.,atividades de barramento dos guias torre 2.,
Acompanhamento da atividades de iluminação da bateria 1 descomissionamento.,acompanhamento da atividades de iluminacao da bateria 1 descomissionamento.,
Acompanhamento de atividades do descomicionamento bateria 1( ilumunação).,acompanhamento de atividades do descomicionamento bateria 1( ilumunacao).,
Atividades eletricas na locomotiva 2.,atividades eletricas na locomotiva 2.,
Acompanhamento a manobra de locomotivas,acompanhamento a manobra de locomotivas,
Atividades locomotiva 2,atividades locomotiva 2,
Locomotiva 2 reparo eletrico.,locomotiva 2 reparo eletrico.,
Atividades de planejamento e organização de sobressalentes eletricos.,atividades de planejamento e organizacao de sobressalentes eletricos.,
Prontidão supervisão ( acompanhamento de atividades).,prontidao supervisao ( acompanhamento de atividades).,
Atividades de movimentação de massas padrão de balança e pendencias na LOC2.,atividades de movimentacao de massas padrao de balanca e pendencias na loc2.,
Atividades de instalação de tranca biometrica,atividades de instalacao de tranca biometrica,
Atividades na MD1 ( nobreak),atividades na md1 ( nobreak),
Atividades eletricas na obra do transformador do almoxarifado 17,atividades eletricas na obra do transformador do almoxarifado 17,
Atividades de itentificação dos circuitos dos paines alimentadores do canteiro ICCT e revitalização,atividades de itentificacao dos circuitos dos paines alimentadores do canteiro icct e revitalizacao,
Identificação de circuitos dos paineis do canteiro icct para engenharia (andre),identificacao de circuitos dos paineis do canteiro icct para engenharia (andre),
Acompanhamento de equipe nas atividades da bomba P006 do CDQ.,acompanhamento de equipe nas atividades da bomba p006 do cdq.,
Acompanhamento de equipe do prontidão nas atividades da MD3,acompanhamento de equipe do prontidao nas atividades da md3,
Apoio ao planejador interino enm rotina de planejamento.,apoio ao planejador interino enm rotina de planejamento.,
acompanhamento de atividades na ponte de içamento 2 do CDQ,acompanhamento de atividades na ponte de icamento 2 do cdq,
Atividades no barramento das MDs bateria 2 apoio ao turno,atividades no barramento das mds bateria 2 apoio ao turno,
Acompanhamento de atividades na ponte de içamento 2 do CDQ,acompanhamento de atividades na ponte de icamento 2 do cdq,
Acompamento a equipe no guia de coque 3 troca de viga,acompamento a equipe no guia de coque 3 troca de viga,
Acompamhamento da equipe servilub na chaminé 1.,acompamhamento da equipe servilub na chamine 1.,
Acompanhamento de equipe nas atividades no guia de coque 2 trinca na base do cilindro da extratora.,acompanhamento de equipe nas atividades no guia de coque 2 trinca na base do cilindro da extratora.,
Atividades de estoque avançado.,atividades de estoque avancado.,
Compressores da MD's,compressores da md's,
Atividadeas  nas chaves seccionadoras MD's,atividadeas  nas chaves seccionadoras md's,
Acompamhamento da equipe nas atividade de proteção do barramento.,acompamhamento da equipe nas atividade de protecao do barramento.,
"Prontidão supervisão ICCT, Viga fixa ponte 1","prontidao supervisao icct, viga fixa ponte 1",
Acompamhamento da equipe nas atividades do desarme da reversão bateria 3.,acompamhamento da equipe nas atividades do desarme da reversao bateria 3.,
Atividades de apoio apos blackout.,atividades de apoio apos blackout.,
Atividades no compressor da locomotiva 3 e no LT1 do desaerador.,atividades no compressor da locomotiva 3 e no lt1 do desaerador.,
Apoio tecnico em atividades de barramentos das locomotivas.,apoio tecnico em atividades de barramentos das locomotivas.,
Acompanhamento de atividades no barramento do guia de coque.,acompanhamento de atividades no barramento do guia de coque.,
Atividades nos barramentos dos guias e coque torre 2,atividades nos barramentos dos guias e coque torre 2,
atendimento patio de carvao,atendimento patio de carvao,
atendimento bateria CDQ,atendimento bateria cdq,
atendimento turno letra excala,atendimento turno letra excala,
fazer melhoria na area da bateria,fazer melhoria na area da bateria,
atendimento na reversão bateria,atendimento na reversao bateria,
FABRICAR DESPOSITIVO PARA SACAR PINO NO COLETOR DA BATERRIA.,fabricar despositivo para sacar pino no coletor da baterria.,
soldar cantorneiras na bateria barramentos.,soldar cantorneiras na bateria barramentos.,
soldar chapa superior nos barramentos,soldar chapa superior nos barramentos,
instalar suporte na MD 02 JUNTO COM ELETRICA,instalar suporte na md 02 junto com eletrica,
subistitui licença maternidade,subistitui licenca maternidade,
trabalho de reparaçao nos furos dos cones CDQ,trabalho de reparacao nos furos dos cones cdq,
preventiva na MD-03,preventiva na md-03,
trabalho na locomotiva 01,trabalho na locomotiva 01,
fazer preparaçao no CDQ para troca da bomba  e buscar bomba na oficina central,fazer preparacao no cdq para troca da bomba  e buscar bomba na oficina central,
troca da calha na bateria,troca da calha na bateria,
subistituir colega na escala de turno,subistituir colega na escala de turno,
trabalho no turno subistituir colega,trabalho no turno subistituir colega,
trabalho no elevador de caneca,trabalho no elevador de caneca,
Acompanhamento da troca do redutor,acompanhamento da troca do redutor,
Apoio ao pátio de carvão,apoio ao patio de carvao,
Atendimento Tratamento de Gás,atendimento tratamento de gas,
Apoia ao Pátio de Carvão.,apoia ao patio de carvao.,
Cobrindo letra C por questão de saúde.,cobrindo letra c por questao de saude.,
NR10 Árias Classificadas.,nr10 arias classificadas.,
Montagem da tranca magnética sala de EPI's ETB da operação do Tratamento de Gás .,montagem da tranca magnetica sala de epi's etb da operacao do tratamento de gas .,
Apoi ao Turno da Letra D Pátio de Carvão Recebimento.,apoi ao turno da letra d patio de carvao recebimento.,
Apoio Recebimento ao Pátio de Carvão,apoio recebimento ao patio de carvao,
Cobrindo Afastamento da Letra B,cobrindo afastamento da letra b,
Cobrindo Afastamento da Letra D,cobrindo afastamento da letra d,
Reforço ao Recebimento Pátio de Carvão,reforco ao recebimento patio de carvao,
Apoio Tratamento de Coque BC331,apoio tratamento de coque bc331,
Apoi Pátio de Carvão,apoi patio de carvao,
Apoi Tratamento de Coque.,apoi tratamento de coque.,
Apoio Tratamento de Gás Precipitador.,apoio tratamento de gas precipitador.,
Redutor RE 1202,redutor re 1202,
Troca do motor da PC 0502A,troca do motor da pc 0502a,
Tubulação de água do mar na área 17,tubulacao de agua do mar na area 17,
Reparo no silo de Cal Virgem ETB,reparo no silo de cal virgem etb,
Reparo na tubulação de água indutrial na área 01,reparo na tubulacao de agua indutrial na area 01,
Reparo linha de COG coletor terciario e acompanhamento no recebimento de carvão.,reparo linha de cog coletor terciario e acompanhamento no recebimento de carvao.,
Corretiva _ Furo na tubulação da linha principal de água do mar.,corretiva _ furo na tubulacao da linha principal de agua do mar.,
"Corretiva , raqueteamento água do mar na área 80.","corretiva , raqueteamento agua do mar na area 80.",
Acompanhamento sistema Claus,acompanhamento sistema claus,
Atendimento no sistema Claus.,atendimento no sistema claus.,
Retorno do Claus,retorno do claus,
Troca do Compressor de lobulos do soprador do Claus.,troca do compressor de lobulos do soprador do claus.,
Reparo no tanque de enxofre TK 2201,reparo no tanque de enxofre tk 2201,
Normalizar dispositivos de içamento ferramentaria e turno,normalizar dispositivos de icamento ferramentaria e turno,
Realizado conferencia organizaçao e controle de materiais da ferramentaria,realizado conferencia organizacao e controle de materiais da ferramentaria,
"organização dos equipamentos de içamento , patio materiais e levantamento materiais eletricos.","organizacao dos equipamentos de icamento , patio materiais e levantamento materiais eletricos.",
Organização e levantamento dos materiais da ferramentaria patio de materiais coqueria.,organizacao e levantamento dos materiais da ferramentaria patio de materiais coqueria.,
Levantamento e organização  materiais da ferramentaria patio de materiais .,levantamento e organizacao  materiais da ferramentaria patio de materiais .,
Balanço e organização da oficina e patio de materiais.,balanco e organizacao da oficina e patio de materiais.,
organização dos equipamentos de içamento ferramentaria e patio materiais.,organizacao dos equipamentos de icamento ferramentaria e patio materiais.,
Preparação de prateleiras para organização dos equipamentos auxiliares de içamento.,preparacao de prateleiras para organizacao dos equipamentos auxiliares de icamento.,
organização da ala de redutores no patio de materiais e liberações de ferramentas para as areas.,organizacao da ala de redutores no patio de materiais e liberacoes de ferramentas para as areas.,
Organização patio de materiais,organizacao patio de materiais,
Organização ala de motores e equipamentos eletricos.,organizacao ala de motores e equipamentos eletricos.,
Organização ala de motores e liberação de equipamentos de içamenta para farloc.,organizacao ala de motores e liberacao de equipamentos de icamenta para farloc.,
Organização ala dos cavaletes no patio e liberação de equipamentos talha par tratamento coque.,organizacao ala dos cavaletes no patio e liberacao de equipamentos talha par tratamento coque.,
Organização ferramentaria e liberação de equipamentos talha...ferramentaria central,organizacao ferramentaria e liberacao de equipamentos talha...ferramentaria central,
cadastro de dispositivos de içamento ferramentaria iccm.,cadastro de dispositivos de icamento ferramentaria iccm.,
ACOMPANHAMENTO PARANR13 501 E CRIANDO OM DAS ATIVIDADES PENDENTES,acompanhamento paranr13 501 e criando om das atividades pendentes,
planejando atividades x materiais da QC501,planejando atividades x materiais da qc501,
planejamento rotina CDQ,planejamento rotina cdq,
planejamento de atividades,planejamento de atividades,
separando material para levar para estoque e fazendo relatorio,separando material para levar para estoque e fazendo relatorio,
atualização plano de OM´s janeiro e fevereiro,atualizacao plano de om's janeiro e fevereiro,
troca da válvula de sucção bomba p005,troca da valvula de succao bomba p005,
atuação no MF da unidade 501,atuacao no mf da unidade 501,
criando relatorio,criando relatorio,
ACOMPANHAMENTO BLOQUEIO,acompanhamento bloqueio,
CRAIANDO DOCUMENTOS PARA OFINCA CENTRAL DEMANDAS NR QC-201,craiando documentos para ofinca central demandas nr qc-201,
acompanhado a operação na indentificação de entrada de ar na baterias,acompanhado a operacao na indentificacao de entrada de ar na baterias,
conserto do compressor junto da A GERADORA,conserto do compressor junto da a geradora,
acompanhendo equique RIP na projeção na defletora caldeira QC-201,acompanhendo equique rip na projecao na defletora caldeira qc-201,
balanceamento MF 201,balanceamento mf 201,
partida da unidade QC-201 acompanhamento,partida da unidade qc-201 acompanhamento,
planejamento do reparo da QC-401,planejamento do reparo da qc-401,
reparo furo fecho tubular QC-401,reparo furo fecho tubular qc-401,
acompanhemento reparo undiade 401,acompanhemento reparo undiade 401,
planejamento da falha do vagão,planejamento da falha do vagao,
parda vagão troca de duas chapas da comporta e recuperando acoplamento comp. 2,parda vagao troca de duas chapas da comporta e recuperando acoplamento comp. 2,
controle de estoque avançado e separando itens para estoque,controle de estoque avancado e separando itens para estoque,
arrumação da ala do Leo e controle do material para ser enviado para estoque,arrumacao da ala do leo e controle do material para ser enviado para estoque,
arrumação e lavantamento de materiais para estoque,arrumacao e lavantamento de materiais para estoque,
levantamento de itens de estoque avançado,levantamento de itens de estoque avancado,
levantamento e registro de intes no container para o estoque avançado,levantamento e registro de intes no container para o estoque avancado,
planejamento QC-401,planejamento qc-401,
imprimindo Om da revisão da programação,imprimindo om da revisao da programacao,
planejamento para instalar nova linha de agua para selo  hidraulico da QC-101,planejamento para instalar nova linha de agua para selo  hidraulico da qc-101,
PLANEJAMENTO ATENDIMENTO QC-201,planejamento atendimento qc-201,
ACOMPANHAMENTO ATENDIMENTO QC-201,acompanhamento atendimento qc-201,
acompanhando lubrificação QC-201,acompanhando lubrificacao qc-201,
planejando OM para troca do cabo de aço e retirando do estoque o cabos de aço da ponte a ser trocado,planejando om para troca do cabo de aco e retirando do estoque o cabos de aco da ponte a ser trocado,
ACOMPANHAMENTO RETORNO DA UNIDADE QC-501,acompanhamento retorno da unidade qc-501,
planejamento  x criando OM das atividades NR QC-101,planejamento  x criando om das atividades nr qc-101,
planjamento e criação documentos da NR x Rotina,planjamento e criacao documentos da nr x rotina,
ACOMPANHAMENTO NR 101,acompanhamento nr 101,
