Justificativa,Justificativa_processada,Classificacao,Justificativa_classificada
Atividades eletricas na obra do transformador do almoxarifado 17,atividades eletricas na obra do transformador do almoxarifado 17,,Manutenção/Inspeção/Teste de Máquina
Atividades de itentificação dos circuitos dos paines alimentadores do canteiro ICCT e revitalização,atividades de itentificacao dos circuitos dos paines alimentadores do canteiro icct e revitalizacao,,Manutenção/Inspeção/Teste de Máquina
Identificação de circuitos dos paineis do canteiro icct para engenharia (andre),identificacao de circuitos dos paineis do canteiro icct para engenharia (andre),,Manutenção/Inspeção/Teste de Máquina
Acompanhamento de equipe nas atividades da bomba P006 do CDQ.,acompanhamento de equipe nas atividades da bomba p006 do cdq.,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento de equipe do prontidão nas atividades da MD3,acompanhamento de equipe do prontidao nas atividades da md3,,Manutenção/Inspeção/Teste de Máquina
Apoio ao planejador interino enm rotina de planejamento.,apoio ao planejador interino enm rotina de planejamento.,,Substituição de Colaborador
acompanhamento de atividades na ponte de içamento 2 do CDQ,acompanhamento de atividades na ponte de icamento 2 do cdq,,Manutenção/Inspeção/Teste de Máquina
Atividades no barramento das MDs bateria 2 apoio ao turno,atividades no barramento das mds bateria 2 apoio ao turno,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento de atividades na ponte de içamento 2 do CDQ,acompanhamento de atividades na ponte de icamento 2 do cdq,,Manutenção/Inspeção/Teste de Máquina
Acompamento a equipe no guia de coque 3 troca de viga,acompamento a equipe no guia de coque 3 troca de viga,,Manutenção/Inspeção/Teste de Máquina
Acompamhamento da equipe servilub na chaminé 1.,acompamhamento da equipe servilub na chamine 1.,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento de equipe nas atividades no guia de coque 2 trinca na base do cilindro da extratora.,acompanhamento de equipe nas atividades no guia de coque 2 trinca na base do cilindro da extratora.,,Parada de Máquina
Atividades de estoque avançado.,atividades de estoque avancado.,,Não Classificado
Compressores da MD's,compressores da md's,,Parada de Máquina
Atividadeas  nas chaves seccionadoras MD's,atividadeas  nas chaves seccionadoras md's,,Manutenção/Inspeção/Teste de Máquina
Acompamhamento da equipe nas atividade de proteção do barramento.,acompamhamento da equipe nas atividade de protecao do barramento.,,Não Classificado
"Prontidão supervisão ICCT, Viga fixa ponte 1","prontidao supervisao icct, viga fixa ponte 1",,Não Classificado
Acompamhamento da equipe nas atividades do desarme da reversão bateria 3.,acompamhamento da equipe nas atividades do desarme da reversao bateria 3.,,Manutenção/Inspeção/Teste de Máquina
Atividades de apoio apos blackout.,atividades de apoio apos blackout.,,Outros Eventos Externos
Atividades no compressor da locomotiva 3 e no LT1 do desaerador.,atividades no compressor da locomotiva 3 e no lt1 do desaerador.,,Manutenção/Inspeção/Teste de Máquina
Apoio tecnico em atividades de barramentos das locomotivas.,apoio tecnico em atividades de barramentos das locomotivas.,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento de atividades no barramento do guia de coque.,acompanhamento de atividades no barramento do guia de coque.,,Manutenção/Inspeção/Teste de Máquina
Atividades nos barramentos dos guias e coque torre 2,atividades nos barramentos dos guias e coque torre 2,,Manutenção/Inspeção/Teste de Máquina
atendimento patio de carvao,atendimento patio de carvao,,Não Classificado
atendimento bateria CDQ,atendimento bateria cdq,,Manutenção/Inspeção/Teste de Máquina
atendimento turno letra excala,atendimento turno letra excala,,Substituição de Colaborador
fazer melhoria na area da bateria,fazer melhoria na area da bateria,,Manutenção/Inspeção/Teste de Máquina
atendimento na reversão bateria,atendimento na reversao bateria,,Manutenção/Inspeção/Teste de Máquina
FABRICAR DESPOSITIVO PARA SACAR PINO NO COLETOR DA BATERRIA.,fabricar despositivo para sacar pino no coletor da baterria.,,Manutenção/Inspeção/Teste de Máquina
soldar cantorneiras na bateria barramentos.,soldar cantorneiras na bateria barramentos.,,Manutenção/Inspeção/Teste de Máquina
soldar chapa superior nos barramentos,soldar chapa superior nos barramentos,,Manutenção/Inspeção/Teste de Máquina
instalar suporte na MD 02 JUNTO COM ELETRICA,instalar suporte na md 02 junto com eletrica,,Manutenção/Inspeção/Teste de Máquina
subistitui licença maternidade,subistitui licenca maternidade,,Substituição de Colaborador
trabalho de reparaçao nos furos dos cones CDQ,trabalho de reparacao nos furos dos cones cdq,,Manutenção/Inspeção/Teste de Máquina
preventiva na MD-03,preventiva na md-03,,Manutenção/Inspeção/Teste de Máquina
trabalho na locomotiva 01,trabalho na locomotiva 01,,Manutenção/Inspeção/Teste de Máquina
fazer preparaçao no CDQ para troca da bomba  e buscar bomba na oficina central,fazer preparacao no cdq para troca da bomba  e buscar bomba na oficina central,,Manutenção/Inspeção/Teste de Máquina
troca da calha na bateria,troca da calha na bateria,,Manutenção/Inspeção/Teste de Máquina
subistituir colega na escala de turno,subistituir colega na escala de turno,,Substituição de Colaborador
trabalho no turno subistituir colega,trabalho no turno subistituir colega,,Substituição de Colaborador
trabalho no elevador de caneca,trabalho no elevador de caneca,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento da troca do redutor,acompanhamento da troca do redutor,,Manutenção/Inspeção/Teste de Máquina
Apoio ao pátio de carvão,apoio ao patio de carvao,,Outros Eventos Externos
Atendimento Tratamento de Gás,atendimento tratamento de gas,,Manutenção/Inspeção/Teste de Máquina
Apoia ao Pátio de Carvão.,apoia ao patio de carvao.,,Não Classificado
Cobrindo letra C por questão de saúde.,cobrindo letra c por questao de saude.,,Substituição de Colaborador
NR10 Árias Classificadas.,nr10 arias classificadas.,,Não Classificado
Montagem da tranca magnética sala de EPI's ETB da operação do Tratamento de Gás .,montagem da tranca magnetica sala de epi's etb da operacao do tratamento de gas .,,Manutenção/Inspeção/Teste de Máquina
Apoi ao Turno da Letra D Pátio de Carvão Recebimento.,apoi ao turno da letra d patio de carvao recebimento.,,Não Classificado
Apoio Recebimento ao Pátio de Carvão,apoio recebimento ao patio de carvao,,Outros Eventos Externos
Cobrindo Afastamento da Letra B,cobrindo afastamento da letra b,,Substituição de Colaborador
Cobrindo Afastamento da Letra D,cobrindo afastamento da letra d,,Substituição de Colaborador
Reforço ao Recebimento Pátio de Carvão,reforco ao recebimento patio de carvao,,Outros Eventos Externos
Apoio Tratamento de Coque BC331,apoio tratamento de coque bc331,,Manutenção/Inspeção/Teste de Máquina
Apoi Pátio de Carvão,apoi patio de carvao,,Não Classificado
Apoi Tratamento de Coque.,apoi tratamento de coque.,,Manutenção/Inspeção/Teste de Máquina
Apoio Tratamento de Gás Precipitador.,apoio tratamento de gas precipitador.,,Manutenção/Inspeção/Teste de Máquina
Redutor RE 1202,redutor re 1202,,Não Classificado
Troca do motor da PC 0502A,troca do motor da pc 0502a,,Manutenção/Inspeção/Teste de Máquina
Tubulação de água do mar na área 17,tubulacao de agua do mar na area 17,,Não Classificado
Reparo no silo de Cal Virgem ETB,reparo no silo de cal virgem etb,,Manutenção/Inspeção/Teste de Máquina
Reparo na tubulação de água indutrial na área 01,reparo na tubulacao de agua indutrial na area 01,,Manutenção/Inspeção/Teste de Máquina
Reparo linha de COG coletor terciario e acompanhamento no recebimento de carvão.,reparo linha de cog coletor terciario e acompanhamento no recebimento de carvao.,,Manutenção/Inspeção/Teste de Máquina
Corretiva _ Furo na tubulação da linha principal de água do mar.,corretiva _ furo na tubulacao da linha principal de agua do mar.,,Parada de Máquina
"Corretiva , raqueteamento água do mar na área 80.","corretiva , raqueteamento agua do mar na area 80.",,Manutenção/Inspeção/Teste de Máquina
Acompanhamento sistema Claus,acompanhamento sistema claus,,Manutenção/Inspeção/Teste de Máquina
Atendimento no sistema Claus.,atendimento no sistema claus.,,Não Classificado
Retorno do Claus,retorno do claus,,Substituição de Colaborador
Troca do Compressor de lobulos do soprador do Claus.,troca do compressor de lobulos do soprador do claus.,,Manutenção/Inspeção/Teste de Máquina
Reparo no tanque de enxofre TK 2201,reparo no tanque de enxofre tk 2201,,Manutenção/Inspeção/Teste de Máquina
Normalizar dispositivos de içamento ferramentaria e turno,normalizar dispositivos de icamento ferramentaria e turno,,Manutenção/Inspeção/Teste de Máquina
Realizado conferencia organizaçao e controle de materiais da ferramentaria,realizado conferencia organizacao e controle de materiais da ferramentaria,,Outros Eventos Externos
"organização dos equipamentos de içamento , patio materiais e levantamento materiais eletricos.","organizacao dos equipamentos de icamento , patio materiais e levantamento materiais eletricos.",,Outros Eventos Externos
Organização e levantamento dos materiais da ferramentaria patio de materiais coqueria.,organizacao e levantamento dos materiais da ferramentaria patio de materiais coqueria.,,Outros Eventos Externos
Levantamento e organização  materiais da ferramentaria patio de materiais .,levantamento e organizacao  materiais da ferramentaria patio de materiais .,,Outros Eventos Externos
Balanço e organização da oficina e patio de materiais.,balanco e organizacao da oficina e patio de materiais.,,Outros Eventos Externos
organização dos equipamentos de içamento ferramentaria e patio materiais.,organizacao dos equipamentos de icamento ferramentaria e patio materiais.,,Outros Eventos Externos
Preparação de prateleiras para organização dos equipamentos auxiliares de içamento.,preparacao de prateleiras para organizacao dos equipamentos auxiliares de icamento.,,Outros Eventos Externos
organização da ala de redutores no patio de materiais e liberações de ferramentas para as areas.,organizacao da ala de redutores no patio de materiais e liberacoes de ferramentas para as areas.,,Outros Eventos Externos
Organização patio de materiais,organizacao patio de materiais,,Outros Eventos Externos
Organização ala de motores e equipamentos eletricos.,organizacao ala de motores e equipamentos eletricos.,,Outros Eventos Externos
Organização ala de motores e liberação de equipamentos de içamenta para farloc.,organizacao ala de motores e liberacao de equipamentos de icamenta para farloc.,,Outros Eventos Externos
Organização ala dos cavaletes no patio e liberação de equipamentos talha par tratamento coque.,organizacao ala dos cavaletes no patio e liberacao de equipamentos talha par tratamento coque.,,Outros Eventos Externos
Organização ferramentaria e liberação de equipamentos talha...ferramentaria central,organizacao ferramentaria e liberacao de equipamentos talha...ferramentaria central,,Manutenção/Inspeção/Teste de Máquina
cadastro de dispositivos de içamento ferramentaria iccm.,cadastro de dispositivos de icamento ferramentaria iccm.,,Manutenção/Inspeção/Teste de Máquina
ACOMPANHAMENTO PARANR13 501 E CRIANDO OM DAS ATIVIDADES PENDENTES,acompanhamento paranr13 501 e criando om das atividades pendentes,,Manutenção/Inspeção/Teste de Máquina
planejando atividades x materiais da QC501,planejando atividades x materiais da qc501,,Não Classificado
planejamento rotina CDQ,planejamento rotina cdq,,Não Classificado
planejamento de atividades,planejamento de atividades,,Não Classificado
separando material para levar para estoque e fazendo relatorio,separando material para levar para estoque e fazendo relatorio,,Outros Eventos Externos
atualização plano de OM´s janeiro e fevereiro,atualizacao plano de om's janeiro e fevereiro,,Não Classificado
troca da válvula de sucção bomba p005,troca da valvula de succao bomba p005,,Manutenção/Inspeção/Teste de Máquina
atuação no MF da unidade 501,atuacao no mf da unidade 501,,Não Classificado
criando relatorio,criando relatorio,,Não Classificado
ACOMPANHAMENTO BLOQUEIO,acompanhamento bloqueio,,Manutenção/Inspeção/Teste de Máquina
CRAIANDO DOCUMENTOS PARA OFINCA CENTRAL DEMANDAS NR QC-201,craiando documentos para ofinca central demandas nr qc-201,,Não Classificado
acompanhado a operação na indentificação de entrada de ar na baterias,acompanhado a operacao na indentificacao de entrada de ar na baterias,,Manutenção/Inspeção/Teste de Máquina
conserto do compressor junto da A GERADORA,conserto do compressor junto da a geradora,,Manutenção/Inspeção/Teste de Máquina
acompanhendo equique RIP na projeção na defletora caldeira QC-201,acompanhendo equique rip na projecao na defletora caldeira qc-201,,Manutenção/Inspeção/Teste de Máquina
balanceamento MF 201,balanceamento mf 201,,Não Classificado
partida da unidade QC-201 acompanhamento,partida da unidade qc-201 acompanhamento,,Manutenção/Inspeção/Teste de Máquina
planejamento do reparo da QC-401,planejamento do reparo da qc-401,,Manutenção/Inspeção/Teste de Máquina
reparo furo fecho tubular QC-401,reparo furo fecho tubular qc-401,,Manutenção/Inspeção/Teste de Máquina
acompanhemento reparo undiade 401,acompanhemento reparo undiade 401,,Manutenção/Inspeção/Teste de Máquina
planejamento da falha do vagão,planejamento da falha do vagao,,Parada de Máquina
parda vagão troca de duas chapas da comporta e recuperando acoplamento comp. 2,parda vagao troca de duas chapas da comporta e recuperando acoplamento comp. 2,,Manutenção/Inspeção/Teste de Máquina
controle de estoque avançado e separando itens para estoque,controle de estoque avancado e separando itens para estoque,,Não Classificado
arrumação da ala do Leo e controle do material para ser enviado para estoque,arrumacao da ala do leo e controle do material para ser enviado para estoque,,Outros Eventos Externos
arrumação e lavantamento de materiais para estoque,arrumacao e lavantamento de materiais para estoque,,Outros Eventos Externos
levantamento de itens de estoque avançado,levantamento de itens de estoque avancado,,Outros Eventos Externos
levantamento e registro de intes no container para o estoque avançado,levantamento e registro de intes no container para o estoque avancado,,Outros Eventos Externos
planejamento QC-401,planejamento qc-401,,Não Classificado
imprimindo Om da revisão da programação,imprimindo om da revisao da programacao,,Não Classificado
planejamento para instalar nova linha de agua para selo  hidraulico da QC-101,planejamento para instalar nova linha de agua para selo  hidraulico da qc-101,,Manutenção/Inspeção/Teste de Máquina
PLANEJAMENTO ATENDIMENTO QC-201,planejamento atendimento qc-201,,Não Classificado
ACOMPANHAMENTO ATENDIMENTO QC-201,acompanhamento atendimento qc-201,,Manutenção/Inspeção/Teste de Máquina
acompanhando lubrificação QC-201,acompanhando lubrificacao qc-201,,Manutenção/Inspeção/Teste de Máquina
planejando OM para troca do cabo de aço e retirando do estoque o cabos de aço da ponte a ser trocado,planejando om para troca do cabo de aco e retirando do estoque o cabos de aco da ponte a ser trocado,,Manutenção/Inspeção/Teste de Máquina
ACOMPANHAMENTO RETORNO DA UNIDADE QC-501,acompanhamento retorno da unidade qc-501,,Manutenção/Inspeção/Teste de Máquina
